index,prod_name,prod_id,variant,stock
1,MECHANICAL GLAND 350,HW350XXXFLMJX-F,FBEBLUE,0
2,MECHANICAL GLAND 80,H080XXXFLMJX,Bitumen,0
3,PUDDLE FLANGE 100 PN-10,HW100XXXPDXFA-F,RED EPOXY,0
4,PUDDLE FLANGE 125,H125XXXPDXFA,,0
5,PUDDLE FLANGE 150,H150XXXPDXFA,,0
6,PUDDLE FLANGE 250 PN-16,H200XXXPDXFB,,0
7,PUDDLE FLANGE 300 PN-16,H300XXXPDXFB,,0
8,Retainer Ring 100mm Restr. Jt (Tyton) CV,HWRRT100-F,,0
9,Retainer Ring 150mm Restr. Jt (Tyton) CV,HWRRT150-F,,0
10,Retainer Ring 200mm Restr. Jt (Tyton) CV,HWRRT200-F,,0
